season,year,hour,holiday,weekday,working_day,weather_situation,temperature,humidity,wind_speed,registered,count,i_hour
1,1,1,0,4,1,3,13.620000000000001,62.98,10.45,12,12,0
3,1,14,0,6,0,1,33.36,26.8,38.81,289,472,0
4,1,23,0,0,0,3,11.739999999999998,62.98,35.82,12,14,0
2,0,19,0,2,1,2,15.5,48.239999999999995,19.400000000000002,248,276,1
4,1,13,0,2,1,2,17.380000000000003,42.88,16.42,233,272,0
2,1,18,0,6,0,3,13.620000000000001,62.98,22.39,110,137,1
2,0,13,0,0,0,1,12.68,22.11,29.849999999999998,148,367,0
1,0,15,0,2,1,2,3.2799999999999994,50.25,0.0,45,52,0
3,0,21,0,6,0,2,24.9,56.28,32.84,86,114,0
1,1,11,1,1,0,1,4.220000000000001,32.16,35.82,163,208,0
2,0,23,0,0,0,1,12.68,44.89,16.42,37,56,0
4,1,18,0,5,1,2,9.86,47.57,10.45,473,498,1
1,1,5,0,0,0,1,5.160000000000002,54.27,10.45,5,5,0
3,1,15,0,1,1,1,23.020000000000003,20.77,38.81,231,346,0
1,0,1,0,6,0,1,13.620000000000001,9.38,41.79,21,31,0
1,1,3,0,3,1,1,2.34,53.6,0.0,4,4,0
2,0,5,0,3,1,1,21.14,58.96,0.0,21,21,0
1,0,20,0,6,0,1,0.4599999999999991,49.58,8.959999999999999,42,43,1
1,0,17,0,2,1,2,-0.47999999999999954,57.62,22.39,130,136,1
2,0,4,1,5,0,1,9.86,54.94,8.959999999999999,3,3,0
2,0,6,0,1,1,1,19.259999999999998,58.96,0.0,101,112,0
3,0,17,0,2,1,2,17.380000000000003,58.96,38.81,276,291,1
4,0,2,1,4,0,1,6.1,40.87,28.360000000000003,19,22,0
1,0,9,0,2,1,2,-0.47999999999999954,62.31,0.0,114,116,1
4,1,17,0,6,0,2,8.919999999999998,30.82,29.849999999999998,298,410,1
3,0,5,0,1,1,2,15.5,51.59,19.400000000000002,26,28,0
3,1,16,0,0,0,1,29.6,28.81,13.43,330,521,1
4,0,2,0,2,1,2,10.8,58.29,0.0,2,3,0
3,1,3,0,2,1,1,23.020000000000003,55.61,16.42,5,6,0
2,1,0,0,4,1,1,20.2,35.510000000000005,29.849999999999998,45,48,0
1,1,7,0,1,1,2,2.34,40.199999999999996,10.45,239,240,1
4,0,15,0,6,0,1,14.559999999999999,34.17,22.39,223,382,0
4,0,13,0,6,0,1,20.2,23.45,46.27,223,394,0
1,0,13,0,2,1,2,9.86,16.75,10.45,73,98,0
